TOP 5:
word:          longer; TF: 0.000141; IDF: 0.080043; TF-IDF: 0.000011
word:            cert; TF: 0.000025; IDF: 1.178655; TF-IDF: 0.000029
word:            huck; TF: 0.000803; IDF: 0.367725; TF-IDF: 0.000295
word:            yawl; TF: 0.000025; IDF: 1.871802; TF-IDF: 0.000046
word:            yawn; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:            join; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:           sugar; TF: 0.000041; IDF: 0.619039; TF-IDF: 0.000026
word:          sponge; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:         rubbage; TF: 0.000075; IDF: 1.871802; TF-IDF: 0.000139
word:        warranty; TF: 0.000017; IDF: 0.080043; TF-IDF: 0.000001
word:         certain; TF: 0.000083; IDF: 0.080043; TF-IDF: 0.000007
word:            lips; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:         pouring; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:            joke; TF: 0.000025; IDF: 0.485508; TF-IDF: 0.000012
word:          thighs; TF: 0.000017; IDF: 1.178655; TF-IDF: 0.000020
word:           bites; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:       antonette; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:           thick; TF: 0.000190; IDF: 0.167054; TF-IDF: 0.000032
word:        impudent; TF: 0.000025; IDF: 1.178655; TF-IDF: 0.000029
word:         saphead; TF: 0.000008; IDF: 2.564949; TF-IDF: 0.000021
word:      attraction; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:            hugs; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:            list; TF: 0.000025; IDF: 0.167054; TF-IDF: 0.000004
word:   painstakingly; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:        woodpile; TF: 0.000058; IDF: 2.564949; TF-IDF: 0.000149
word:         morning; TF: 0.000414; IDF: 0.080043; TF-IDF: 0.000033
word:        previous; TF: 0.000025; IDF: 0.080043; TF-IDF: 0.000002
word:       sparkling; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
