TOP 5:
word:        cheering; TF: 0.000016; IDF: 1.178655; TF-IDF: 0.000019
word:        grieving; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:            like; TF: 0.000612; IDF: 0.080043; TF-IDF: 0.000049
word:        imparted; TF: 0.000008; IDF: 0.773190; TF-IDF: 0.000006
word:         deserts; TF: 0.000016; IDF: 1.871802; TF-IDF: 0.000030
word:       plentiful; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:         replace; TF: 0.000008; IDF: 0.080043; TF-IDF: 0.000001
word:      celebrated; TF: 0.000016; IDF: 0.619039; TF-IDF: 0.000010
word:         uttered; TF: 0.000040; IDF: 0.367725; TF-IDF: 0.000015
word:         deserve; TF: 0.000071; IDF: 0.619039; TF-IDF: 0.000044
word:           usage; TF: 0.000016; IDF: 0.955511; TF-IDF: 0.000015
word:  discrimination; TF: 0.000008; IDF: 1.466337; TF-IDF: 0.000012
word:            line; TF: 0.000064; IDF: 0.080043; TF-IDF: 0.000005
word:            john; TF: 0.000016; IDF: 0.367725; TF-IDF: 0.000006
word:          longed; TF: 0.000071; IDF: 0.619039; TF-IDF: 0.000044
word:         implied; TF: 0.000024; IDF: 0.080043; TF-IDF: 0.000002
word:          longer; TF: 0.000349; IDF: 0.080043; TF-IDF: 0.000028
word:        overcome; TF: 0.000079; IDF: 0.367725; TF-IDF: 0.000029
word:          gaiety; TF: 0.000024; IDF: 0.367725; TF-IDF: 0.000009
word:            yawn; TF: 0.000024; IDF: 0.773190; TF-IDF: 0.000018
word:            join; TF: 0.000151; IDF: 0.080043; TF-IDF: 0.000012
word:           deter; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:       patronage; TF: 0.000032; IDF: 1.178655; TF-IDF: 0.000037
word:        dreading; TF: 0.000008; IDF: 1.178655; TF-IDF: 0.000009
word:        warranty; TF: 0.000016; IDF: 0.080043; TF-IDF: 0.000001
word:    complaisance; TF: 0.000040; IDF: 1.871802; TF-IDF: 0.000074
word:         certain; TF: 0.000453; IDF: 0.080043; TF-IDF: 0.000036
word:            lips; TF: 0.000071; IDF: 0.080043; TF-IDF: 0.000006
word:      reflecting; TF: 0.000008; IDF: 0.955511; TF-IDF: 0.000008
word:         pouring; TF: 0.000008; IDF: 0.367725; TF-IDF: 0.000003
word:       undeceive; TF: 0.000008; IDF: 1.871802; TF-IDF: 0.000015
word:            joke; TF: 0.000024; IDF: 0.485508; TF-IDF: 0.000012
